name,popularity,url
Maple Syrup,73,https://p.scdn.co/mp3-preview/7c1befa088927830bcefd80bbed951319cdb31e1?cid=456d00237a8241de99b97d8b8f4f3254
Vegetable Song,22,https://p.scdn.co/mp3-preview/b50334fe0b3577b2c026aea1630f6f2d89771bde?cid=456d00237a8241de99b97d8b8f4f3254
CAREFUL,72,
Fortune Faded,63,https://p.scdn.co/mp3-preview/9817fca836b45e5e3738d2d22d71c60a5e953e43?cid=456d00237a8241de99b97d8b8f4f3254
Glory Box,76,
Spring Is Coming With A Strawberry In The Mouth,37,https://p.scdn.co/mp3-preview/3f08f8485eec0d862a4e0fbaa29f6c9fb9a73d72?cid=456d00237a8241de99b97d8b8f4f3254
Reference,61,https://p.scdn.co/mp3-preview/2abc78b5c057bcf37dbdbdd147a8b1e38910cb5a?cid=456d00237a8241de99b97d8b8f4f3254
Decent Days and Nights,38,https://p.scdn.co/mp3-preview/32f15ea0a49b9d09d22061eae915566ff01a2d7e?cid=456d00237a8241de99b97d8b8f4f3254
Tone Deaf,63,
Paint The Town Red,94,https://p.scdn.co/mp3-preview/1d4dc1cd67ba78afec8cfb3e5258a9ab9b707dd8?cid=456d00237a8241de99b97d8b8f4f3254
Bosanska Artiljerija,51,https://p.scdn.co/mp3-preview/eda610af7fc1cd489694eca6a295430079319483?cid=456d00237a8241de99b97d8b8f4f3254
Mozambique (feat. Jaykae & Moonchild Sanelly) - Single Version,40,https://p.scdn.co/mp3-preview/e9684bcf7811d6ccfef1bcfa2b46c0d75f0fafcd?cid=456d00237a8241de99b97d8b8f4f3254
Rock 'n' Roll (Part 2),64,https://p.scdn.co/mp3-preview/75f77f507e61d0c965103ad9c0c157c1c92a5c24?cid=456d00237a8241de99b97d8b8f4f3254
Revisions,14,https://p.scdn.co/mp3-preview/a979f4154a0461623dcaaf29ebcb8a935ef94d46?cid=456d00237a8241de99b97d8b8f4f3254
Strengthen ye the weak hands,3,https://p.scdn.co/mp3-preview/87e435df9a318e0444dbbb391ba8dfcbd547a557?cid=456d00237a8241de99b97d8b8f4f3254
Hell As Well,56,https://p.scdn.co/mp3-preview/77ec88141f3fd6a025f30d036a39a57551ff6162?cid=456d00237a8241de99b97d8b8f4f3254
Say To Me,58,
Shakespeare,45,https://p.scdn.co/mp3-preview/44675ab07f7a401018266fbf789a9ba0765837d2?cid=456d00237a8241de99b97d8b8f4f3254
Outside (feat. Ellie Goulding),85,https://p.scdn.co/mp3-preview/258a571c0ae04c58dad7ff59c49b0bd39cb1986b?cid=456d00237a8241de99b97d8b8f4f3254
Sunglasses At Night,63,
Provinces,34,https://p.scdn.co/mp3-preview/424c47b7cee0fef84482448c74e0f915c3e77ec5?cid=456d00237a8241de99b97d8b8f4f3254
Fisherman's Blues - 2006 Remaster,61,https://p.scdn.co/mp3-preview/65535cada7256a2438ab1e2d06a555379fbe2f20?cid=456d00237a8241de99b97d8b8f4f3254
I Believe in Father Christmas,65,https://p.scdn.co/mp3-preview/46402e11f84c5d84190348a2c14412eac08833f0?cid=456d00237a8241de99b97d8b8f4f3254
DNA (Loving You) [feat. Hannah Boleyn],80,https://p.scdn.co/mp3-preview/e9013220ecb36e3e87bef076800b8abcf24c6178?cid=456d00237a8241de99b97d8b8f4f3254
Controversial,35,https://p.scdn.co/mp3-preview/1683815bd4883efdd3449d4b9fb9d0a85db29052?cid=456d00237a8241de99b97d8b8f4f3254
Hearings,5,https://p.scdn.co/mp3-preview/750f121cb5362456183a6cabfbf48df384f8b552?cid=456d00237a8241de99b97d8b8f4f3254
Shoplifters of the World Unite - 2011 Remaster,54,https://p.scdn.co/mp3-preview/12a8a86991ddd0e8a75f0af975bb5b90625c9a5a?cid=456d00237a8241de99b97d8b8f4f3254
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),87,
Strings Of Life (Stronger On My Own) [feat. Kathy Brown] - Radio Edit,41,
Dover Beach,58,
Goals,51,https://p.scdn.co/mp3-preview/ca1612fa92e048cad6dccc2f0722ded52d127d85?cid=456d00237a8241de99b97d8b8f4f3254
Higher,78,
Automotivo Bibi Fogosa,86,https://p.scdn.co/mp3-preview/9142a67cc0f130980ca72e1eb8d656fe39ee14bd?cid=456d00237a8241de99b97d8b8f4f3254
Absolute,56,https://p.scdn.co/mp3-preview/4367f924dd9d38f4ca044df0ada5b4fb98413210?cid=456d00237a8241de99b97d8b8f4f3254
Show Me Love,73,https://p.scdn.co/mp3-preview/cd193fd380af0cc58cfba77c25ff533ac1d6c6b4?cid=456d00237a8241de99b97d8b8f4f3254
Apollo,67,https://p.scdn.co/mp3-preview/6a3a9b5286737392431af53d8f889877715d9051?cid=456d00237a8241de99b97d8b8f4f3254
Confused 133,56,https://p.scdn.co/mp3-preview/a4ba1c92d7c90b61e4e4c8f3ed53e66e68453934?cid=456d00237a8241de99b97d8b8f4f3254
No Interviews,60,https://p.scdn.co/mp3-preview/8244d4f74fd37eb7bf082b9e05c55b2ce950b44b?cid=456d00237a8241de99b97d8b8f4f3254
Sector 1,57,https://p.scdn.co/mp3-preview/7de4e0456000e2eeb7412f188ab03d8fe37789ee?cid=456d00237a8241de99b97d8b8f4f3254
Rules,77,https://p.scdn.co/mp3-preview/150fff515a64f314cb8e460414be4c914c8d8be4?cid=456d00237a8241de99b97d8b8f4f3254
Grass Ain't Greener,65,https://p.scdn.co/mp3-preview/8e30b32e2c6bf014de332227aefc1a8be91cb4e2?cid=456d00237a8241de99b97d8b8f4f3254
Party All the Time,62,https://p.scdn.co/mp3-preview/59e589e5f5ea6db2ef046c68f38443fa08135e05?cid=456d00237a8241de99b97d8b8f4f3254
Correlation White,0,https://p.scdn.co/mp3-preview/f509ea443d69b0f9127124a4ec7596ed8b7d2845?cid=456d00237a8241de99b97d8b8f4f3254
No Censor,51,https://p.scdn.co/mp3-preview/70443e861ce82a54e6666913919f8c74b1397998?cid=456d00237a8241de99b97d8b8f4f3254
Cumshot,37,https://p.scdn.co/mp3-preview/f90d5606aded01251d242ea492735c6b63016690?cid=456d00237a8241de99b97d8b8f4f3254
All The Small Things,85,
Contract,34,https://p.scdn.co/mp3-preview/1400e501cc9e8acfd76f88919a373bcfd1f14299?cid=456d00237a8241de99b97d8b8f4f3254
Empty Space,61,https://p.scdn.co/mp3-preview/34d96313d90364069aad9a19ce106e5e17fe1865?cid=456d00237a8241de99b97d8b8f4f3254
Something About You (with Rudimental),53,https://p.scdn.co/mp3-preview/05d1ab47cbbd89891d385363f03ee4c88c94356d?cid=456d00237a8241de99b97d8b8f4f3254
Plug in Baby,69,https://p.scdn.co/mp3-preview/f08553b5ecb9e977133edb1da34ccf5c8c40cb79?cid=456d00237a8241de99b97d8b8f4f3254
Complicated,83,https://p.scdn.co/mp3-preview/34657059f6a40050f96e3cbf3d929aa595f5dd60?cid=456d00237a8241de99b97d8b8f4f3254
Centuries,83,
Noticed,75,
Gbona,56,https://p.scdn.co/mp3-preview/4f6cf1a346c7296f3e069532e250ee7723e72e7d?cid=456d00237a8241de99b97d8b8f4f3254
Barbados,26,https://p.scdn.co/mp3-preview/7d03ca6ce614897266ca3bafbe1fc5c81d56b20a?cid=456d00237a8241de99b97d8b8f4f3254
Ignored,45,https://p.scdn.co/mp3-preview/dde7b5ff9a60cc5f87ce0bbae7988c054947e9bd?cid=456d00237a8241de99b97d8b8f4f3254
Refugees,29,https://p.scdn.co/mp3-preview/73c8af28c1550ae32ebd312b6a4509f13057a656?cid=456d00237a8241de99b97d8b8f4f3254
See You Again (feat. Kali Uchis),92,https://p.scdn.co/mp3-preview/c703198293891e3b276800ea6b187cf7951d3d7d?cid=456d00237a8241de99b97d8b8f4f3254
Mother's Daughter,68,https://p.scdn.co/mp3-preview/c9f171c101069a98df5b2ff2e233e5aa8b8ab186?cid=456d00237a8241de99b97d8b8f4f3254
Female of the Species,49,https://p.scdn.co/mp3-preview/c08c4eaf02d2c3407d3b67dd46b9c937d42689f0?cid=456d00237a8241de99b97d8b8f4f3254
Acquainted,77,
Anaheim,67,https://p.scdn.co/mp3-preview/36b96441a32ac013b1a64fffc29d8539768beed9?cid=456d00237a8241de99b97d8b8f4f3254
Sharing The Night Together,68,
Antenna - UK Radio Edit,46,
